,date,lat,lon,temperature
0,1950-01-01 00:00:00+00:00,13.514655303000156,-16.36736200099992,23.481544
0,1950-01-01 00:00:00+00:00,13.544655303000155,-16.36736200099992,23.527044
0,1950-01-01 00:00:00+00:00,13.574655303000156,-16.36736200099992,23.609892
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.337362000999917,22.579235
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.337362000999917,22.702734
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.337362000999917,24.216412
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.337362000999917,23.458431
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.337362000999917,23.49093
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.337362000999917,23.49093
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.337362000999917,23.806625
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.337362000999917,23.793627
0,1950-01-01 00:00:00+00:00,13.424655303000158,-16.337362000999917,23.63075
0,1950-01-01 00:00:00+00:00,13.454655303000155,-16.337362000999917,23.642517
0,1950-01-01 00:00:00+00:00,13.484655303000157,-16.337362000999917,23.623018
0,1950-01-01 00:00:00+00:00,13.514655303000156,-16.337362000999917,23.623018
0,1950-01-01 00:00:00+00:00,13.544655303000155,-16.337362000999917,23.629519
0,1950-01-01 00:00:00+00:00,13.574655303000156,-16.337362000999917,23.642454
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.307362000999916,22.579235
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.307362000999916,22.689734
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.307362000999916,24.13191
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.307362000999916,23.44543
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.307362000999916,23.49093
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.307362000999916,23.49093
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.307362000999916,23.897625
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.307362000999916,23.748125
0,1950-01-01 00:00:00+00:00,13.424655303000158,-16.307362000999916,23.66975
0,1950-01-01 00:00:00+00:00,13.454655303000155,-16.307362000999916,23.766018
0,1950-01-01 00:00:00+00:00,13.484655303000157,-16.307362000999916,23.623018
0,1950-01-01 00:00:00+00:00,13.514655303000156,-16.307362000999916,23.629519
0,1950-01-01 00:00:00+00:00,13.544655303000155,-16.307362000999916,23.636019
0,1950-01-01 00:00:00+00:00,13.574655303000156,-16.307362000999916,23.694454
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.277362000999915,22.598734
0,1950-01-01 00:00:00+00:00,13.214655303000162,-16.277362000999915,22.605234
0,1950-01-01 00:00:00+00:00,13.244655303000162,-16.277362000999915,24.02141
0,1950-01-01 00:00:00+00:00,13.27465530300016,-16.277362000999915,23.48443
0,1950-01-01 00:00:00+00:00,13.30465530300016,-16.277362000999915,23.48443
0,1950-01-01 00:00:00+00:00,13.33465530300016,-16.277362000999915,23.49093
0,1950-01-01 00:00:00+00:00,13.36465530300016,-16.277362000999915,23.904125
0,1950-01-01 00:00:00+00:00,13.394655303000158,-16.277362000999915,23.904125
0,1950-01-01 00:00:00+00:00,13.424655303000158,-16.277362000999915,23.68275
0,1950-01-01 00:00:00+00:00,13.454655303000155,-16.277362000999915,23.688017
0,1950-01-01 00:00:00+00:00,13.484655303000157,-16.277362000999915,23.681519
0,1950-01-01 00:00:00+00:00,13.514655303000156,-16.277362000999915,23.675018
0,1950-01-01 00:00:00+00:00,13.544655303000155,-16.277362000999915,23.668518
0,1950-01-01 00:00:00+00:00,13.574655303000156,-16.277362000999915,23.629454
0,1950-01-01 00:00:00+00:00,13.184655303000165,-16.247362000999914,22.614172
